rowid,fpl_orbper,fpl_smax,fpl_bmasse,fpl_rade,fpl_dens,fpl_tranflag,fpl_cbflag,fpl_snum,dec,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age,cos_simil,weighted_simil,cluster
50,392.6,1.0,289.2253,13.9,0.5920000000000001,0,0,1,49.58696,4414.0,2.24,1.69,0.74,11.0,-0.2,0,4.236718483690839,0.6896623983868189,0.7759500773323383,1
51,733.0,1.7,540.311,13.5,1.21,0,0,1,48.930061,4534.0,2.48,1.64,1.09,10.33,-0.13,0,4.236718483690839,0.7108113522365798,0.8008785187241506,1
52,2590.0,4.2,508.5,13.5,1.14,0,0,1,49.730011,4943.0,2.85,1.47,1.52,7.6,-0.19,0,2.34,0.7301979688442578,0.8197673292871019,1
53,3.8728,0.0428,8.5,2.85,2.02,0,0,1,-5.9948440000000005,4324.0,4.74,-1.022,0.7,0.67,-0.14,0,4.4,0.8251646762223405,0.938875556713449,1
54,125.94,0.435,53.0,8.38,0.495,0,0,1,-5.9948440000000005,4324.0,4.74,-1.022,0.7,0.67,-0.14,0,4.4,0.8227160236016472,0.9353716771873122,1
55,5.6,0.06,12.7132,3.61,1.48,0,0,1,-9.51668,4816.0,4.43,-0.626,0.5,0.71,-0.06,0,4.5,0.8211465701796188,0.9335545825121947,1
56,237.6,0.68,104.0,12.5,0.293,0,0,1,-9.51668,4816.0,4.43,-0.626,0.5,0.71,-0.06,0,4.5,0.8151291908609851,0.9249483339436052,1
57,3.48777,0.04,187.5197,14.1,0.368,0,0,1,-10.770376,5393.0,4.69,-0.191,1.47,0.91,0.38,0,1.0,0.7854557107445345,0.8814948960647467,1
58,1667.0,2.28,168.44,14.2,0.32299999999999995,0,0,1,-11.636039,4475.0,4.1,-0.8809999999999999,0.57,0.52,-0.48,0,4.4,0.8013585885142879,0.9085102860920867,1
59,714.2999900000001,1.66,3108.3774,12.5,8.75,0,0,1,-13.906639000000002,4545.0,2.2,2.043,2.12,19.17,-0.08,0,0.74,0.654732185140636,0.7082496111333944,1
60,655.6,1.34,1620.9,12.8,4.25,0,0,1,-16.226345000000002,4714.0,4.26,-0.6779999999999999,0.74,0.69,-0.03,0,4.3,0.8105624742795893,0.9203127168672848,1
61,10037.5,2.6,3337.1,12.4,9.62,0,0,1,10.228611,580.5,4.72,-0.07515228426395948,0.02,1.5409463240905692,0.011107881644409444,0,4.236718483690839,0.8202399733383814,0.9341505973010831,1
62,2319.5392238828044,210.0,3994.486,12.3,11.8,0,0,1,-77.625877,5488.212277202725,4.354839473684218,-0.07515228426395948,0.35,1.5409463240905692,0.011107881644409444,0,0.002,0.7217670771979366,0.8108889403451262,1
63,8.9891,6.1761086775078455,3686.828,12.4,10.6,0,0,1,22.841696,3635.0,4.354839473684218,-0.108,0.9,1.88,0.011107881644409444,0,0.003,0.7959323379196517,0.8813564142541959,1
64,2319.5392238828044,440.0,5403.0,24.66,1.98,0,0,1,-76.455383,4200.2,4.354839473684218,-0.102,0.9950321463897128,1.68,0.011107881644409444,0,0.002,0.6991068109219777,0.7817083422503083,1
65,1.5089556999999998,0.02752,327.35,16.7,0.38,1,0,1,-3.102147,5950.0,4.25,0.298,0.95,1.11,-0.3,1,1.6,0.8125310853394977,0.8795077248522589,0
66,13.2406,0.1055,874.0,10.87,3.7,1,0,1,0.746143,5075.0,4.65,-0.726,0.89,0.79,0.26,0,3.0,0.9826068527640142,0.9741777299964093,0
67,2.9943299999999997,0.0436,740.51,16.03,0.99,1,0,1,5.937688,6440.0,4.22,0.378,1.27,1.37,-0.03,0,2.0,0.9752437862867149,0.9548127483247502,0
68,2.828042,0.04016,291.438,16.14,0.41100000000000003,1,0,1,-1.296439,5675.0,4.38,-0.128,1.08,1.12,0.16,0,6.3,0.9766090101836663,0.9610953380886793,0
69,4.03519,0.051,415.704,9.92,2.34,1,0,1,-5.0864449999999986,5945.0,4.46,0.073,1.09,1.01,0.01,0,1.635,0.9810369982705244,0.9645036024897675,0
