"rowid","fpl_hostname","fpl_name","fpl_disc","fpl_orbper","fpl_rads","fst_dist","fst_logg","cluster","simil"
"1301","KELT-4 A","KELT-4 A b","2016","2.9895932","0.175","210","4.11","0","0.903576737050432"
"1302","KELT-6","KELT-6 b","2014","7.8457","0.134","242.39","4.07","0","0.9704045152572491"
"1303","KELT-6","KELT-6 c","2015","1276","0.11900000000000001","242.39","4.07","1","0.7946091864335089"
"1304","KELT-7","KELT-7 b","2015","2.73477","0.16399999999999998","137.21","4.5","0","0.9732188186251108"
"1305","KELT-8","KELT-8 b","2015","3.24406","0.166","198.7","4.08","0","0.9700576462912978"
"1306","KELT-9","KELT-9 b","2017","1.4811235","0.19399999999999998","205.65","4.09","0","0.9478314451329365"
"1307","KIC 10001893","KIC 10001893 b","2014","0.2197","0.05169042316258316","1758.47","5.35","1","0.7780002212194383"
"1308","KIC 10001893","KIC 10001893 c","2014","0.32528","0.05169042316258316","1758.47","5.35","1","0.7780002212196687"
"1309","KIC 10001893","KIC 10001893 d","2014","0.81161","0.05169042316258316","1758.47","5.35","1","0.7780002212207293"
"1310","KIC 10525077","KIC 10525077 b","2015","854.083","0.05","1525.31","4.42","0","0.9856991723529781"
"1311","KIC 3558849","KIC 3558849 b","2015","1322.3","0.063","1258.75","4.44","0","0.9766798373612581"
"1312","KIC 5437945","KIC 5437945 b","2015","440.7813","0.059000000000000004","1322.48","4.16","0","0.9715530033122444"
"1313","KIC 5951458","KIC 5951458 b","2015","1320.1","0.06","758.78","4.08","0","0.9640017052645189"
"1314","KIC 7917485","KIC 7917485 b","2016","840","0.114","1439.31","4","1","0.7947666717123087"
"1315","KOI-7892","KIC 8540376 b","2015","31.8099","0.038","1106.37","4.31","0","0.9832531041002103"
"1316","KOI-7892","KIC 8540376 c","2015","75.2","0.022000000000000002","1106.37","4.31","0","0.9834800484491635"
"1317","KIC 9663113","KIC 9663113 b","2015","572.3847","0.042","1670.88","4.42","0","0.9801892172400831"
"1318","KMT-2016-BLG-0212L","KMT-2016-BLG-0212L b","2018","2319.5392238828044","0.111","6300","4.354839473684218","1","0.8009660967264981"
"1319","KMT-2016-BLG-1107L","KMT-2016-BLG-1107L b","2019","2319.5392238828044","0.12","6651","4.354839473684218","1","0.8019514260208337"
"1320","KMT-2016-BLG-1397L","KMT-2016-BLG-1397L b","2018","2319.5392238828044","0.11599999999999999","6600","4.354839473684218","1","0.8032940686245764"
"1321","KMT-2016-BLG-1820L","KMT-2016-BLG-1820L b","2018","2319.5392238828044","0.11800000000000001","6260","4.354839473684218","1","0.799838685039564"
"1322","KMT-2016-BLG-2142L","KMT-2016-BLG-2142L b","2018","2319.5392238828044","0.11199999999999999","7010","4.354839473684218","1","0.8005805358530819"
"1323","KMT-2017-BLG-0165L","KMT-2017-BLG-0165L b","2018","2319.5392238828044","0.059000000000000004","4530","4.354839473684218","1","0.8063398995989254"
"1324","KMT-2017-BLG-1038L","KMT-2017-BLG-1038L b","2019","2319.5392238828044","0.12300000000000001","6000","4.354839473684218","1","0.802333893054611"
"1325","KMT-2017-BLG-1146L","KMT-2017-BLG-1146L b","2019","2319.5392238828044","0.128","6500","4.354839473684218","1","0.7961318398588335"
"1326","KOI-12","KOI-12 b","2015","17.85523","0.158","403.99","4.34","0","0.9704661173302748"
"1327","KOI-1257","KOI-1257 b","2014","86.647661","0.09699999999999999","900","4.32","0","0.9506077589201531"
"1328","KOI-13","KOI-13 b","2011","1.763588","0.155","415","4.2","0","0.9008756066405358"
"1329","KOI-142","KOI-142 b","2013","10.95416","0.035","339","4.53","0","0.9834498221288648"
"1330","KOI-142","KOI-142 c","2013","22.3395","0.129","339","4.53","1","0.8028536759584894"
"1331","KOI-1599","KOI-1599.01","2019","20.4415","0.017","1168.99","4.45","0","0.9889234178991225"
"1332","KOI-1599","KOI-1599.02","2019","13.6088","0.017","1168.99","4.45","0","0.9889233622223179"
"1333","KOI-217","KOI-217 b","2010","3.90512","0.114","800","4.53","0","0.9784166173030002"
"1334","KOI-351","KOI-351 b","2013","7.008151","0.012","780","4.4","0","0.8501478454134878"
"1335","KOI-351","KOI-351 c","2013","8.719375","0.011000000000000001","780","4.4","0","0.8501481161000185"
"1336","KOI-351","KOI-351 d","2013","59.73667","0.026000000000000002","780","4.4","0","0.8500958590928691"
"1337","KOI-351","KOI-351 e","2013","91.93913","0.024","780","4.4","0","0.8501079552367735"
"1338","KOI-351","KOI-351 f","2013","124.9144","0.026000000000000002","780","4.4","0","0.850095248132452"
"1339","KOI-351","KOI-351 g","2013","210.60697","0.07400000000000001","780","4.4","0","0.849282165348047"
"1340","KOI-351","KOI-351 h","2013","331.60059","0.10400000000000001","780","4.4","0","0.8482962147226555"
"1341","KOI-3680","KOI-3680 b","2018","141.241671","0.102","946.59","4.47","0","0.9823777761791652"
"1342","KOI-55","KOI-55 b","2011","0.240104","0.006999999999999999","1180","5.52","1","0.7866472536223439"
"1343","KOI-55","KOI-55 c","2011","0.342887","0.008","1180","5.52","1","0.7866488445724343"
"1344","KOI-94","KOI-94 b","2013","3.743208","0.016","483.65","4.18","0","0.9814924411041824"
"1345","KOI-94","KOI-94 c","2013","10.423648","0.04","483.65","4.18","0","0.9811882232023987"
"1346","KOI-94","KOI-94 d","2013","22.342989","0.10300000000000001","483.65","4.18","0","0.9784863537265371"
"1347","KOI-94","KOI-94 e","2013","54.32031","0.06","483.65","4.18","0","0.9806160991620689"
"1348","KPS-1","KPS-1 b","2018","1.706291","0.106","264.69","4.47","0","0.976188603997352"
"1349","Kapteyn","Kapteyn c","2014","121.54","0.023","3.93","4.354839473684218","1","0.5020515022094051"
"1350","Kepler-10","Kepler-10 b","2011","0.837491","0.013999999999999999","186.5","4.35","0","0.9685645429721099"
"1351","Kepler-10","Kepler-10 c","2011","45.294301","0.022000000000000002","186.5","4.35","0","0.9685247508597848"
"1352","Kepler-100","Kepler-100 b","2014","6.88705","0.012","307.34","4.12","0","0.9791065221793842"
"1353","Kepler-100","Kepler-100 c","2014","12.8159","0.02","307.34","4.12","0","0.979076815625"
