"rowid","fpl_hostname","fpl_letter","fpl_name","fpl_discmethod","fpl_controvflag","fpl_disc","fpl_orbper","fpl_smax","fpl_eccen","fpl_bmasse","fpl_bmassj","fpl_bmassprov","fpl_rade","fpl_radj","fpl_rads","fpl_dens","fpl_eqt","fpl_insol","fpl_tranflag","fpl_cbflag","fpl_snum","ra_str","ra","dec_str","dec","fst_dist","fst_optmag","fst_optmagband","fst_nirmag","fst_nirmagband","fst_spt","fst_teff","fst_logg","fst_lum","fst_mass","fst_rad","fst_met","fst_metratio","fst_age"
"10","24 Sex","c","24 Sex c","Radial Velocity","0","2010","883","2.08","0.29","273.32","0.86","Msini","13.9","1.24","0.127","0.559","","","0","0","1","10h23m28.37s","155.86821","-00d54m08.1s","-0.902244","72.21","6.441","V (Johnson)","4.285","Ks (2MASS)","K0 IV","5098","3.5","1.1640000000000001","1.54","4.9","-0.03","[Fe/H]","2.7"
"11","2MASS J01225093-2439505","b","2MASS J01225093-2439505 b","Imaging","0","2013","2319.5392238828044","52","","7786.5","24.5","Mass","11.209000000000001","1","0.10300000000000001","30.4","1600","","0","0","1","01h22m50.94s","20.712243","-24d39m50.6s","-24.664049","36","14.24","V (Johnson)","9.198","Ks (2MASS)","M3.5 V","3530","4.354839473684218","-1.72","0.4","1.5409463240905692","0.011107881644409444","[Fe/H]","0.12"
"12","2MASS J02192210-3925225","b","2MASS J02192210-3925225 b","Imaging","0","2015","2319.5392238828044","156","","4417.837","13.9","Mass","16.141","1.44","0.14800000000000002","5.77","","","0","0","1","02h19m22.11s","34.842106","-39d25m22.5s","-39.422928000000006","39.4","15.012","G (Gaia)","10.404000000000002","Ks (2MASS)","M6","3064","4.59","-2.23","0.11","0.28","0.011107881644409444","[Fe/H]","0.035"
"13","2MASS J04414489+2301513","b","2MASS J04414489+2301513 b","Imaging","0","2010","2319.5392238828044","15","","2383.6","7.5","Mass","12.6","1.13","0.11599999999999999","6.55","","","0","0","1","04h41m44.90s","70.437073","+23d01m51.4s","23.030941000000002","140","18.967","G (Gaia)","13.161","Ks (2MASS)","M8.5","5488.212277202725","4.354839473684218","-0.07515228426395947","0.02","1.5409463240905692","0.011107881644409444","[Fe/H]","0.001"
"14","2MASS J12073346-3932539","b","2MASS J12073346-3932539 b","Imaging","0","2004","2319.5392238828044","46","","1271","4","Mass","13","1.16","0.11900000000000001","3.18","1150","","0","0","1","12h07m33.47s","181.889447","-39d32m54.0s","-39.548332","64.42","20.15","V (Johnson)","11.945","Ks (2MASS)","M8","5488.212277202725","4.354839473684218","-0.07515228426395947","0.02","1.5409463240905692","0.011107881644409444","[Fe/H]","0.008"
"15","2MASS J19383260+4603591","b","2MASS J19383260+4603591 b","Eclipse Timing Variations","0","2015","416","0.92","","603.877","1.9","Mass","13.4","1.2","0.12300000000000001","1.38","","","0","1","2","19h38m32.61s","294.63586499999997","+46d03m59.1s","46.066418","400.77","12.138","G (Gaia)","12.955","Ks (2MASS)","","10868","3.91","0.168","0.48","0.34","-0.092","[Fe/H]","4.236718483690839"
"16","2MASS J21402931+1625183 A","b","2MASS J21402931+1625183 A b","Imaging","0","2009","7336.5","6.176108677507845","0.26","6657.48","20.95","Mass","10.31","0.92","0.09","33.4","2075","","0","0","1","21h40m29.32s","325.122159","+16d25m18.3s","16.421758999999998","25","17.396","G (Gaia)","11.825999999999999","Ks (2MASS)","M8.5","2300","4.354839473684218","-3.48","0.08","0.12","0.011107881644409444","[Fe/H]","4.236718483690839"
"17","2MASS J22362452+4751425","b","2MASS J22362452+4751425 b","Imaging","0","2016","2319.5392238828044","230","","3972.875","12.5","Mass","12.3","1.1","0.113","11.7","","","0","0","1","22h36m24.53s","339.102203","+47d51m42.6s","47.86182","74","12.51","V (Johnson)","9.148","Ks (2MASS)","K7 V","4045","4.354839473684218","-1.021","0.6","0.62","0.011107881644409444","[Fe/H]","0.12"
"18","30 Ari B","b","30 Ari B b","Radial Velocity","0","2009","335.10001","0.99","0.29","4392.4106","13.82","Msini","12.3","1.1","0.113","13","","","0","0","4","02h36m57.74s","39.240584999999996","+24d38m53.0s","24.648064","44.71","6.962000000000001","V (Johnson)","5.822","Ks (2MASS)","F6 V","6331","4.43","0.381","1.93","1.41","0.19","[Fe/H]","0.91"
"19","4 UMa","b","4 UMa b","Radial Velocity","0","2006","269.3","0.87","0.432","2256.5","7.1","Msini","12.7","1.13","0.11599999999999999","6.05","","","0","0","1","08h40m12.82s","130.053406","+64d19m40.6s","64.327934","73.58","4.61","V (Johnson)","1.734","Ks (2MASS)","K1 III","4415","1.8","2.062","1.23","18.11","-0.25","[Fe/H]","4.604"
